"['genomics', 2, 11, 5.5]"
"['analytical chemistry', 3, 0, 0]"
"['sequence', 5, 3, 0.6]"
"['analyzer', 3, 1, 0.3333333333333333]"
"['quality control', 4, 0, 0]"
"['acrobat', 1, 0, 0]"
"['adobe acrobat', 1, 0, 0]"
"['cell and molecular biology and immunology : isolation of t cell , dendritic cell and macrophage cell from mouse spleen , mesenteric lymph node , intestine or colon , cell culture , total rna and dna isolation , rt-pcr and qpcr , purification of chromosome or plasmid dna , transformation , analysis of gene and protein sequence , molecular cloning , elisa and flow cytometry . dna preparation for sequence , molecular cloning , biochemistry : purification and identification of protein , and monoclonal or polyclonal antibody , electrophoresis ; gel transferring , western blotting . general histology : mouse tissue preparation and processing , embed , cut , and h & e staining , immunostaining with antibody conjugate fluorescence or enzyme , fluorescence and light microscopy , as well as figure preparation .', 1, 0, 0]"
"['groovy', 1, 0, 0]"
"['ruby', 53, 17, 0.32075471698113206]"
"['rail', 1, 11, 11.0]"
"['ruby on rail', 1, 0, 0]"
"['cryptography', 1, 0, 0]"
"['dynamic', 3, 120, 40.0]"
"['framework', 8, 40, 5.0]"
"['field work', 1, 0, 0]"
"['western blot', 2, 0, 0]"
"['microbiology', 5, 0, 0]"
"['tissue culture', 1, 0, 0]"
"['antibody production', 1, 0, 0]"
"['drug discovery', 3, 0, 0]"
"['in-vitro pharmacology', 1, 0, 0]"
"['histology', 1, 0, 0]"
"['image', 2, 34, 17.0]"
"['neurology', 1, 1, 1.0]"
"['quickbooks', 2, 0, 0]"
"['image software', 1, 0, 0]"
"['c', 15, 115, 7.666666666666667]"
"['finance', 2, 91, 45.5]"
"['pricing', 1, 55, 55.0]"
"['application development', 6, 0, 0]"
"['shell script', 10, 0, 0]"
"['gcp', 5, 11, 2.2]"
"['uv-vis', 2, 0, 0]"
"['trackwise', 2, 0, 0]"
"['workday', 1, 2, 2.0]"
"['documentum', 2, 0, 0]"
"['millennium', 1, 0, 0]"
"['excellent computer skill', 1, 0, 0]"
"['javascript : d3', 1, 0, 0]"
"['easylanguage ( tradestation )', 1, 0, 0]"
"['uc4', 1, 0, 0]"
"['data quality', 1, 0, 0]"
"['data governance', 1, 0, 0]"
"['m sharepoint', 3, 0, 0]"
"['sharepoint', 9, 2, 0.2222222222222222]"
"['software implementation', 1, 0, 0]"
"['governance', 1, 25, 25.0]"
"['restructuring', 1, 0, 0]"
"['workflow', 1, 22, 22.0]"
"['english', 2, 21, 10.5]"
"['ux', 5, 4, 0.8]"
"['computer vision', 5, 0, 0]"
"['kanban', 1, 0, 0]"
"['web service', 11, 0, 0]"
"['conditional random field', 1, 0, 0]"
"['awk', 1, 2, 2.0]"
"['sed', 1, 2, 2.0]"
"['security', 3, 112, 37.333333333333336]"
"['record management', 1, 0, 0]"
"['fema', 1, 0, 0]"
"['training', 3, 178, 59.333333333333336]"
"['incident management', 1, 0, 0]"
"['purification', 7, 0, 0]"
"['microbial culture', 1, 0, 0]"
"['mammalian cell culture', 2, 0, 0]"
"['clone', 4, 0, 0]"
"['fplc', 1, 0, 0]"
"['php', 10, 17, 1.7]"
"['linux ( ubuntu )', 1, 0, 0]"
"['window xp/vista/10', 1, 0, 0]"
"['gnu octave', 2, 0, 0]"
"['reactjs', 1, 0, 0]"
"['azure', 5, 56, 11.2]"
"['amazon dynamodb', 1, 0, 0]"
"['cm', 1, 1, 1.0]"
"['rdbms', 4, 6, 1.5]"
"['hedis', 1, 1, 1.0]"
"['mac', 4, 3, 0.75]"
"['mac o', 2, 0, 0]"
"['icd', 2, 0, 0]"
"['icd-9', 1, 0, 0]"
"['cpt', 2, 0, 0]"
"['product management', 4, 0, 0]"
"['financial planning', 1, 0, 0]"
"['budgeting', 5, 1, 0.2]"
"['financial modeling', 4, 0, 0]"
"['financial planning & analysis', 1, 0, 0]"
"['cash management', 1, 0, 0]"
"['lawson', 1, 0, 0]"
"['ph test', 1, 0, 0]"
"['western blotting', 3, 0, 0]"
"['pharmacokinetic', 2, 0, 0]"
"['dna', 7, 10, 1.4285714285714286]"
"['dna/rna', 1, 0, 0]"
"['dna/rna purification', 1, 0, 0]"
"['rna', 4, 0, 0]"
"['nmr', 1, 0, 0]"
"['instrumentation', 3, 5, 1.6666666666666667]"
"['mics', 1, 0, 0]"
"['data collection', 8, 0, 0]"
"['data mart', 2, 0, 0]"
"['data model', 3, 0, 0]"
"['data source', 6, 0, 0]"
"['datasets', 3, 215, 71.66666666666667]"
"['flume', 11, 0, 0]"
"['jboss', 4, 0, 0]"
"['postgressql', 1, 0, 0]"
"['seaborn', 3, 8, 2.6666666666666665]"
"['quantitative analysis', 2, 0, 0]"
"['ethnographic', 1, 0, 0]"
"['chief technology officer', 1, 0, 0]"
"['quantitative', 5, 394, 78.8]"
"['pipeline', 2, 41, 20.5]"
"['outlook', 7, 4, 0.5714285714285714]"
"['drug safety', 1, 0, 0]"
"['kinesis', 2, 4, 2.0]"
"['stream', 2, 4, 2.0]"
"['flash', 1, 0, 0]"
"['gui', 1, 1, 1.0]"
"['animation', 1, 0, 0]"
"['industrial engineering', 1, 0, 0]"
"['autocad', 2, 0, 0]"
"['simio', 1, 0, 0]"
"['logistics', 2, 21, 10.5]"
"['fmea', 1, 0, 0]"
"['mrp', 1, 0, 0]"
"['lean', 1, 15, 15.0]"
"['eda', 4, 5, 1.25]"
"['gi', 5, 0, 0]"
"['good communication', 1, 0, 0]"
"['experimental design', 3, 0, 0]"
"['problem-solving', 2, 0, 0]"
"['best practice', 1, 0, 0]"
"['data integrity', 2, 0, 0]"
"['parametric', 1, 4, 4.0]"
"['edw', 1, 1, 1.0]"
"['edm', 1, 2, 2.0]"
"['operation management', 2, 0, 0]"
"['cleanroom', 1, 1, 1.0]"
"['semiconductor', 1, 4, 4.0]"
"['communication', 3, 389, 129.66666666666666]"
"['type', 2, 43, 21.5]"
"['organizational skill', 4, 0, 0]"
"['deep analytical experience : 10 year of data process , analysis and model experience ; proficient in python , r , sql , pearl , linux , excel , azure data factory', 1, 0, 0]"
"['strong leadership : manage 2 team of 10+ phd for research on oil/gas upstream geo-science data predictive modeling project', 1, 0, 0]"
"['manage relationship with multiple internal/external client at manager level and provide think leadership on opportunity and solution on oil reserve prediction and drilling risk control business .', 1, 0, 0]"
"['document management', 2, 0, 0]"
"['azure-ml', 1, 0, 0]"
"['computational statisitcs', 1, 0, 0]"
"['cosmos', 1, 0, 0]"
"['database management', 6, 0, 0]"
"['dax', 1, 0, 0]"
"['exploratory data analysis', 2, 0, 0]"
"['kusto', 1, 0, 0]"
"['minitab', 7, 6, 0.8571428571428571]"
"['power-bi', 1, 0, 0]"
"['regression modelling', 1, 0, 0]"
"['scope', 1, 45, 45.0]"
"['google analytics', 4, 0, 0]"
"['google cloud product', 1, 0, 0]"
"['google bigquery', 1, 0, 0]"
"['analytics', 5, 578, 115.6]"
"['financial analysis', 4, 0, 0]"
"['manufacturing analysis', 1, 0, 0]"
"['hadoop distribute file system', 7, 0, 0]"
"['sql .', 1, 0, 0]"
"['machine learning ( python )', 1, 0, 0]"
"['sklearn', 1, 12, 12.0]"
"['enterprise architect', 1, 0, 0]"
